To,CancellationRate,NumberOfCancellation,DomesticDepRate,meanCost,TotalDepartures,numberOfTrainDeparted,numberOfPlanesDeparted,numberOfInternationalPlanesDeparted,numberOfBusDeparted
Abadan,0.1513353115727003,51,1.0,14.67000998394993,337,0.0,55.0,0.0,282.0
Abadeh,0.09433962264150944,10,1.0,13.446582337401633,106,3.0,0.0,0.0,103.0
Abarkuh,0.12,3,1.0,13.236125589887267,25,0.0,0.0,0.0,25.0
Abbasabad,0.0,0,1.0,14.070152776337856,13,0.0,0.0,0.0,13.0
Abdanan,1.0,1,1.0,14.819812167161142,1,0.0,0.0,0.0,1.0
Abhar,0.25,1,1.0,13.141973733980969,4,0.0,0.0,0.0,4.0
Abyek,0.375,3,1.0,13.824528668668684,8,8.0,0.0,0.0,0.0
Ahar,0.0,0,1.0,14.410788096878148,14,0.0,0.0,0.0,14.0
Ahvaz,0.21894474449522228,527,0.9995845450768591,14.921551036929706,2407,885.0,506.0,1.0,1015.0
Aligudarz,0.18055555555555555,13,1.0,13.679322298281607,72,0.0,0.0,0.0,72.0
Amol,0.1411764705882353,12,1.0,14.242311529162382,85,0.0,0.0,0.0,85.0
Anbarabad,0.0,0,1.0,13.199324418540456,1,0.0,0.0,0.0,1.0
Andimeshk,0.19730941704035873,44,1.0,14.398127308662405,223,79.0,0.0,0.0,144.0
Ankara,0.0,0,0.0,17.993428335875247,4,0.0,0.0,4.0,0.0
Arak,0.10644677661169415,71,1.0,13.872269772283577,667,94.0,0.0,0.0,573.0
Ardabil,0.13793103448275862,36,1.0,14.489681363948545,261,0.0,29.0,0.0,232.0
Ardakan,0.2,10,1.0,14.04824433321554,50,8.0,0.0,0.0,42.0
Ardestan,0.2727272727272727,3,1.0,12.790515942783799,11,0.0,0.0,0.0,11.0
Arsanjan,0.0,0,1.0,12.17246827068345,2,0.0,0.0,0.0,2.0
Asadabad,0.0,0,1.0,13.815510557964274,1,0.0,0.0,0.0,1.0
Asaluyeh,0.12684365781710916,86,1.0,14.349422409032211,678,0.0,21.0,0.0,657.0
Ashtian,0.0,0,1.0,12.833386812580631,8,0.0,0.0,0.0,8.0
Astara,0.18867924528301888,10,1.0,14.27128201485764,53,0.0,0.0,0.0,53.0
Azadvar,0.14285714285714285,1,1.0,13.360201895520236,7,7.0,0.0,0.0,0.0
Azna,0.16216216216216217,6,1.0,13.754718116511695,37,12.0,0.0,0.0,25.0
Babol,0.14847161572052403,34,1.0,13.796176920182539,229,0.0,0.0,0.0,229.0
Babolsar,0.13793103448275862,28,1.0,14.03396669695592,203,0.0,0.0,0.0,203.0
Badrud,0.0,0,1.0,13.420784480460062,2,2.0,0.0,0.0,0.0
Bafq,0.2037037037037037,11,1.0,13.947217085737309,54,54.0,0.0,0.0,0.0
Baft,0.13333333333333333,2,1.0,12.745871665234402,15,0.0,0.0,0.0,15.0
Baghdad,0.2,1,0.0,16.80549617761712,5,0.0,0.0,5.0,0.0
Bajestan,0.0,0,1.0,14.7862894751225,1,0.0,0.0,0.0,1.0
Bam,0.20833333333333334,10,1.0,14.019875279333062,48,32.0,0.0,0.0,16.0
Bandar Abbas,0.14486803519061583,247,0.9988269794721407,14.737962395709971,1705,777.0,169.0,2.0,757.0
Bandar Anzali,0.1386861313868613,19,1.0,13.987978249200701,137,0.0,0.0,0.0,137.0
Bandar Lengeh,0.28125,9,1.0,14.865070172515964,32,0.0,19.0,0.0,13.0
Bandar Torkaman,0.0,0,1.0,13.287877815881902,1,0.0,0.0,0.0,1.0
Baneh,0.24242424242424243,8,1.0,14.23757482143528,33,0.0,0.0,0.0,33.0
Bardaskan,0.1111111111111111,1,1.0,13.952076226745024,9,0.0,0.0,0.0,9.0
Batumi,0.0,0,0.0,16.978196911181097,1,0.0,0.0,1.0,0.0
Behbahan,0.12030075187969924,16,1.0,13.84155594792657,133,0.0,0.0,0.0,133.0
Behshahr,0.15789473684210525,3,1.0,13.95332818987687,19,0.0,0.0,0.0,19.0
Bijar,0.0,0,1.0,13.803388956374828,10,0.0,0.0,0.0,10.0
Birjand,0.10893854748603352,39,1.0,14.287984622133726,358,0.0,10.0,0.0,348.0
Bojnurd,0.22535211267605634,16,1.0,14.489727685155179,71,0.0,0.0,0.0,71.0
Bonab,0.0,0,1.0,14.194605313108847,4,0.0,0.0,0.0,4.0
Borkhar,0.14285714285714285,2,1.0,14.326597211420191,14,0.0,0.0,0.0,14.0
Borujen,0.038461538461538464,1,1.0,14.239163108562956,26,0.0,0.0,0.0,26.0
Borujerd,0.17277486910994763,33,1.0,13.819180544302577,191,0.0,0.0,0.0,191.0
Boshruyeh,0.22727272727272727,5,1.0,13.743153272511858,22,0.0,0.0,0.0,22.0
Bukan,0.058823529411764705,2,1.0,14.315195569134447,34,0.0,0.0,0.0,34.0
Bushehr,0.11290322580645161,49,1.0,14.355090236623997,434,0.0,63.0,0.0,371.0
Chabahar,0.09207161125319693,36,0.9974424552429667,14.860018762234343,391,0.0,81.0,1.0,309.0
Chaldoran,0.0,0,1.0,12.948009990259552,1,0.0,0.0,0.0,1.0
Chalus,0.1348314606741573,12,1.0,14.202199188837632,89,0.0,0.0,0.0,89.0
Damghan,0.1693548387096774,42,1.0,13.51494803166524,248,121.0,0.0,0.0,127.0
Darab,0.05714285714285714,2,1.0,13.878754470100535,35,0.0,0.0,0.0,35.0
Darreh Shahr,0.25,1,1.0,14.548123867273288,4,0.0,0.0,0.0,4.0
Dasht-e Azadegan,0.25,1,1.0,15.28441874085999,4,0.0,0.0,0.0,4.0
Dashtestan,0.04,1,1.0,13.716890781185825,25,0.0,0.0,0.0,25.0
Dashti,0.0,0,1.0,13.500799813124578,3,0.0,0.0,0.0,3.0
Dayyer,0.0,0,1.0,13.9811757045316,8,0.0,0.0,0.0,8.0
Dehgolan,0.0,0,1.0,14.24077829336862,1,0.0,0.0,0.0,1.0
Dehloran,0.0,0,1.0,14.7862894751225,1,0.0,0.0,0.0,1.0
Delfan,0.16666666666666666,1,1.0,13.796464786535891,6,0.0,0.0,0.0,6.0
Delijan,0.1111111111111111,1,1.0,13.20288899806904,9,0.0,0.0,0.0,9.0
Deylam,0.2,1,1.0,14.069673370514824,5,0.0,0.0,0.0,5.0
Dezful,0.1390728476821192,21,1.0,14.864476171450855,151,0.0,38.0,0.0,113.0
Divandarreh,0.0,0,1.0,14.005910149304562,4,0.0,0.0,0.0,4.0
Dorud,0.16260162601626016,20,1.0,13.867628212695701,123,74.0,0.0,0.0,49.0
Dubai,0.0,0,0.0,17.984926205714462,4,0.0,0.0,4.0,0.0
Eqlid,0.12280701754385964,7,1.0,13.230802887557328,57,2.0,0.0,0.0,55.0
Esfarayen,0.1,2,1.0,14.424644352156822,20,0.0,0.0,0.0,20.0
Estahban,0.0,0,1.0,12.345834587905332,1,0.0,0.0,0.0,1.0
Eyvan,0.0,0,1.0,14.467835744003963,1,0.0,0.0,0.0,1.0
Fasa,0.625,5,1.0,14.018055344377455,8,0.0,0.0,0.0,8.0
Ferdows,0.037037037037037035,3,1.0,13.399748417400554,81,0.0,0.0,0.0,81.0
Fereydunshahr,0.0,0,1.0,13.937728190688524,1,0.0,0.0,0.0,1.0
Firuzkuh,0.25,1,1.0,13.251635713108469,4,4.0,0.0,0.0,0.0
Fuman,0.1388888888888889,5,1.0,13.766631842155876,36,0.0,0.0,0.0,36.0
Gachsaran,0.21212121212121213,7,1.0,14.210648645980545,33,0.0,0.0,0.0,33.0
Garmsar,0.1935483870967742,12,1.0,12.863600906835186,62,62.0,0.0,0.0,0.0
Genaveh,0.022222222222222223,1,1.0,13.84455409789562,45,0.0,0.0,0.0,45.0
Gerash,0.0,0,1.0,13.670535641601383,11,0.0,0.0,0.0,11.0
Germi,0.0,0,1.0,14.44308105326902,5,0.0,0.0,0.0,5.0
Ghaleye Ganj,0.0,0,1.0,13.518549518117524,12,0.0,0.0,0.0,12.0
Gilan-e Gharb,0.5,1,1.0,14.392123922268269,2,0.0,0.0,0.0,2.0
Golpayegan,0.08982035928143713,15,1.0,13.146616848688364,167,0.0,0.0,0.0,167.0
Gonabad,0.11864406779661017,7,1.0,13.441678664492626,59,0.0,0.0,0.0,59.0
Gonbad-e Kavus,0.19491525423728814,23,1.0,14.131342308839006,118,0.0,0.0,0.0,118.0
Gorgan,0.15489130434782608,114,1.0,14.195758786143731,736,169.0,26.0,0.0,541.0
Hamedan,0.12465373961218837,90,1.0,14.198391618115616,722,125.0,0.0,0.0,597.0
Hashtgerd,0.0,0,1.0,13.334243736439827,2,2.0,0.0,0.0,0.0
Ilam,0.09042553191489362,17,1.0,14.53515874585173,188,0.0,10.0,0.0,178.0
Iranshahr,0.06666666666666667,16,1.0,14.175185479896454,240,0.0,0.0,0.0,240.0
Isfahan,0.14628224582701063,964,0.9975720789074355,14.296051699473551,6590,722.0,428.0,16.0,5424.0
Islamabad-e Gharb,0.0,0,1.0,14.430696197054507,1,0.0,0.0,0.0,1.0
Islamshahr,0.0,0,1.0,14.375126345899696,1,0.0,0.0,0.0,1.0
Istanbul,0.04918032786885246,3,0.0,17.361311900747435,61,0.0,0.0,61.0,0.0
Izeh,0.15217391304347827,7,1.0,14.327227523467196,46,0.0,0.0,0.0,46.0
Izmir,0.0,0,0.0,16.912110662230603,4,0.0,0.0,4.0,0.0
Jahrom,0.09560723514211886,37,1.0,12.95618290964807,387,0.0,0.0,0.0,387.0
Jajarm,0.16666666666666666,2,1.0,13.73130843529959,12,9.0,0.0,0.0,3.0
Jam,0.09523809523809523,2,1.0,13.776708004635882,21,0.0,0.0,0.0,21.0
Jamkaran,0.0,0,1.0,11.156250521031495,9,9.0,0.0,0.0,0.0
Javanrud,0.0,0,1.0,13.892471599100402,1,0.0,0.0,0.0,1.0
Jiroft,0.13157894736842105,5,1.0,13.319633312439471,38,0.0,0.0,0.0,38.0
Jolfa,0.014925373134328358,2,1.0,11.114207848640643,134,116.0,0.0,0.0,18.0
Joveyn,0.14285714285714285,2,1.0,13.225877468736485,14,14.0,0.0,0.0,0.0
Kahnuj,0.0,0,1.0,13.582002530430822,6,0.0,0.0,0.0,6.0
Kalaleh,0.0,0,1.0,13.995053818962164,8,0.0,0.0,0.0,8.0
