From,CancellationRate,NumberOfCancellation,DomesticDepRate,meanCost,TotalDepartures,numberOfTrainDeparted,numberOfPlanesDeparted,numberOfInternationalPlanesDeparted,numberOfBusDeparted
Abadan,0.11407766990291263,47,1.0,14.540145911820638,412,0.0,61.0,0.0,351.0
Abadeh,0.10869565217391304,5,1.0,13.440565669846288,46,3.0,0.0,0.0,43.0
Abbasabad,0.6666666666666666,2,1.0,13.990420067609266,3,0.0,0.0,0.0,3.0
Abyek,0.0,0,1.0,14.057978108605035,9,9.0,0.0,0.0,0.0
Ahar,0.0,0,1.0,14.406341553331739,9,0.0,0.0,0.0,9.0
Ahvaz,0.2091798344620015,556,1.0,14.951498573495062,2658,892.0,581.0,0.0,1185.0
Ajab Shir,0.0,0,1.0,14.310511631383294,2,2.0,0.0,0.0,0.0
Amol,0.1388888888888889,10,1.0,14.29240815667848,72,0.0,0.0,0.0,72.0
Andimeshk,0.16412213740458015,43,1.0,14.387980870241746,262,79.0,0.0,0.0,183.0
Ankara,0.0,0,0.0,18.194908741284465,1,0.0,0.0,1.0,0.0
Arak,0.12035010940919037,110,1.0,13.872488590670121,914,115.0,0.0,0.0,799.0
Ardabil,0.1288135593220339,38,1.0,14.598236793566956,295,0.0,48.0,0.0,247.0
Ardakan,0.23529411764705882,12,1.0,14.106017115441965,51,13.0,0.0,0.0,38.0
Asaluyeh,0.13966480446927373,50,1.0,14.42016690803884,358,0.0,20.0,0.0,338.0
Astaneh-ye Ashrafiyeh,0.16666666666666666,2,1.0,13.810099838788117,12,0.0,0.0,0.0,12.0
Astara,0.09090909090909091,3,1.0,14.214642714542475,33,0.0,0.0,0.0,33.0
Azadvar,0.0,0,1.0,13.678749508525176,7,7.0,0.0,0.0,0.0
Azna,0.21428571428571427,3,1.0,13.89958998628119,14,14.0,0.0,0.0,0.0
Babol,0.1826086956521739,63,1.0,13.804504643477125,345,0.0,0.0,0.0,345.0
Babolsar,0.24242424242424243,40,1.0,13.806864450239287,165,0.0,0.0,0.0,165.0
Badrud,1.0,1,1.0,12.804909146618876,1,1.0,0.0,0.0,0.0
Bafq,0.2777777777777778,5,1.0,13.945575655014949,18,18.0,0.0,0.0,0.0
Baft,0.0,0,1.0,12.765688433465597,4,0.0,0.0,0.0,4.0
Baghdad,0.2857142857142857,2,0.0,16.84229377333343,7,0.0,0.0,7.0,0.0
